,Name,Movie1,Score1,Movie2,Score2,Movie3,Score3,Movie4,Score4,Movie5,Score5
0,0,The Lord of the Rings III,4.123794995198233,The Godfather,3.9870696601076734,The Lord of the Rings I,3.7844020696797567,Schindler's List,3.6808463575197723,The Godfather Part II,3.4274884414051616
1,1,The Lord of the Rings III,3.5358156951555357,The Godfather,3.2385554683176436,The Lord of the Rings I,3.031822056817458,Interstellar,2.976185870383597,Schindler's List,2.8049961524989406
2,2,The Lord of the Rings III,4.193215646357129,The Godfather,4.088012034512607,The Lord of the Rings I,3.9370653574058525,Schindler's List,3.8911337008262636,The Shawkshank Redemption,3.752748422697004
3,3,The Lord of the Rings III,3.9081425670926846,The Godfather,3.7187581583928417,The Lord of the Rings I,3.5141846723754067,Schindler's List,3.40423663446183,Fight Club,3.2285950333372453
4,4,The Lord of the Rings III,3.8003082056115893,The Godfather,3.768219850893883,Schindler's List,3.454486624091794,The Lord of the Rings I,3.453309823892305,The Godfather Part II,3.1442693876507755
5,5,The Lord of the Rings III,4.102411991858449,The Godfather,4.004035225305225,The Shawkshank Redemption,3.9123470231001676,The Dark Knight,3.822573376622573,The Lord of the Rings I,3.772090266541979
6,6,The Lord of the Rings III,3.7500181689469647,The Godfather,3.7149429681976143,Schindler's List,3.402462970608356,The Lord of the Rings I,3.373344062136382,The Dark Knight,3.2987134335004042
7,7,The Lord of the Rings III,3.8556920731443185,The Godfather,3.4555165985391914,The Lord of the Rings I,3.4247614534839332,The Dark Knight,3.305798516721614,The Shawkshank Redemption,3.2786529641430073
8,8,The Lord of the Rings III,3.8623733663398285,The Godfather,3.5662942398926276,The Lord of the Rings I,3.456585933245011,The Shawkshank Redemption,3.344560909416241,The Dark Knight,3.330144857488673
9,9,The Lord of the Rings III,4.0490371597368995,The Godfather,3.875845879591596,The Lord of the Rings I,3.7111348148055594,Schindler's List,3.577319689089658,Fight Club,3.329515521397665
10,10,The Lord of the Rings III,4.088993865034255,The Godfather,3.9797687534545965,The Lord of the Rings I,3.7713823412446255,Schindler's List,3.625491958218661,Fight Club,3.4415232910266136
11,11,The Lord of the Rings III,3.97753640092275,The Godfather,3.611297118796618,The Lord of the Rings I,3.5905728935817973,The Lord of the Rings II,3.3614544051579274,The Dark Knight,3.2944523395057788
12,12,The Godfather,3.680447694366799,The Lord of the Rings III,3.644227998538958,Schindler's List,3.3636366675340055,The Shawkshank Redemption,3.310999531266658,The Lord of the Rings I,3.3107722995579767
13,13,The Godfather,3.8796911896451993,The Lord of the Rings III,3.7086360938372738,Schindler's List,3.6516919355634387,The Matrix,3.3605664068783967,The Shawkshank Redemption,3.344313111986176
14,14,The Lord of the Rings III,4.096389915797019,The Godfather,4.022963961358546,Schindler's List,3.779306602220739,The Lord of the Rings I,3.7712637154671595,The Dark Knight,3.6111624448174755
15,15,The Lord of the Rings III,3.877438972628695,The Lord of the Rings I,3.4384246926766178,The Godfather,3.386713631714506,The Matrix,3.0601916094626502,Schindler's List,3.0389091662733496
16,16,The Lord of the Rings III,4.066043236520601,The Lord of the Rings I,3.7429317781416915,The Godfather,3.655978124733288,Schindler's List,3.3384061431088496,The Lord of the Rings II,3.3006525393018498
17,17,The Lord of the Rings III,3.9792273170241006,The Godfather,3.735338251480349,The Lord of the Rings I,3.6062843090768895,Schindler's List,3.3181303506400144,Fight Club,3.2689181633464672
18,18,The Godfather,3.646681148126857,The Lord of the Rings III,3.6360955840594325,The Shawkshank Redemption,3.454509802483646,Interstellar,3.409554709596067,The Dark Knight,3.3214705476372757
19,19,The Lord of the Rings III,3.769356671298838,The Godfather,3.642950170439806,The Lord of the Rings I,3.393603105783084,The Dark Knight,3.3904591703906757,The Shawkshank Redemption,3.3538033851772537
20,20,The Lord of the Rings III,3.954938988835925,The Godfather,3.777122810179251,The Lord of the Rings I,3.600877742625205,Schindler's List,3.423698844997873,The Dark Knight,3.2862271895207824
21,21,The Lord of the Rings III,3.348917641962528,Interstellar,3.2882754878382405,The Godfather,3.2437445070854385,The Shawkshank Redemption,2.9496938879323378,The Dark Knight,2.9249885119489196
22,22,The Lord of the Rings III,3.67635151564527,The Godfather,3.443293119351288,The Lord of the Rings I,3.251549941198139,Interstellar,3.041965417200283,Schindler's List,3.0265860279001267
23,23,The Lord of the Rings III,3.7856022391557325,The Godfather,3.4254905029520044,The Lord of the Rings I,3.3770196391871035,Schindler's List,3.029674993057245,Interstellar,3.0277264418587557
24,24,The Lord of the Rings III,4.010423764086338,The Godfather,3.8467974931237716,The Shawkshank Redemption,3.715964345344507,The Lord of the Rings I,3.690036227337866,The Dark Knight,3.652669879431558
25,25,The Lord of the Rings III,3.55157020838127,The Godfather,3.4032422750755855,Interstellar,3.351368714367376,The Shawkshank Redemption,3.2723639411116596,The Lord of the Rings I,3.1541433305992803
26,26,The Lord of the Rings III,3.510996833665813,Interstellar,3.202746842557954,The Godfather,3.2001064214765345,The Dark Knight,3.0972186826470773,The Lord of the Rings I,3.0304388462439458
27,27,The Lord of the Rings III,4.031840699151527,The Godfather,3.955118519929139,The Dark Knight,3.820601709809307,The Shawkshank Redemption,3.8020489647171924,The Lord of the Rings I,3.701716669744742
28,28,The Lord of the Rings III,4.110397983405821,The Godfather,3.866088524232502,The Lord of the Rings I,3.696929888820721,The Dark Knight,3.640859420620526,Schindler's List,3.5777047606325234
29,29,The Godfather,3.8392436561051624,The Lord of the Rings III,3.745456087518757,Schindler's List,3.5598988313879327,The Shawkshank Redemption,3.556611646918178,The Dark Knight,3.4853778596811793
30,30,The Lord of the Rings III,3.96683802761189,The Godfather,3.6532486836813867,The Lord of the Rings I,3.593999707285282,The Shawkshank Redemption,3.4172806423431767,The Dark Knight,3.3861322109037304
31,31,The Lord of the Rings III,3.8431892979725726,The Godfather,3.667338434376817,The Lord of the Rings I,3.4533950880856636,The Shawkshank Redemption,3.4118053670909596,The Dark Knight,3.3877796543932734
32,32,The Lord of the Rings III,4.290696597228125,The Godfather,4.135397359669821,The Shawkshank Redemption,4.056386179334279,The Dark Knight,4.0422677271669265,The Lord of the Rings I,4.038119041450219
33,33,The Lord of the Rings III,3.9910432351156078,The Godfather,3.8886494543959502,The Lord of the Rings I,3.6536893995133957,The Dark Knight,3.6006511985989182,The Shawkshank Redemption,3.576494160379946
34,34,The Lord of the Rings III,3.788223555421317,The Godfather,3.5805452518236995,The Lord of the Rings I,3.3928442486581756,Schindler's List,3.200330260767304,Fight Club,3.105945579545923
35,35,The Lord of the Rings III,3.817243042495008,The Godfather,3.5416580564235636,The Lord of the Rings I,3.4552594668316416,The Shawkshank Redemption,3.312003859755014,The Dark Knight,3.2854509809558285
36,36,The Lord of the Rings III,3.5988444958427364,Interstellar,3.421608555317126,The Dark Knight,3.4083013083080282,The Godfather,3.3179779120917634,The Shawkshank Redemption,3.2057496549476676
37,37,The Lord of the Rings III,4.07073887055171,The Godfather,3.893235749459328,The Shawkshank Redemption,3.8143920726501075,The Dark Knight,3.7607003901959106,The Lord of the Rings I,3.75242647412613
38,38,The Lord of the Rings III,3.8997523182528093,The Godfather,3.647043969858581,The Lord of the Rings I,3.5185902003101224,Schindler's List,3.3134934318528164,Fight Club,3.091625411064606
39,39,The Lord of the Rings III,3.3860853529485513,The Godfather,3.325223500021991,Interstellar,3.1224161137420943,Schindler's List,3.017590295503308,The Lord of the Rings I,2.8853763860309964
40,40,The Lord of the Rings III,4.036851336506704,The Godfather,3.815806786970565,The Lord of the Rings I,3.619103049082819,Schindler's List,3.5185040475058487,The Matrix,3.262843008220406
41,41,The Lord of the Rings III,3.8338987129840834,The Lord of the Rings I,3.373734695022249,The Godfather,3.2996766562824402,Interstellar,2.9526103480948156,The Matrix,2.9435803956853976
42,42,The Lord of the Rings III,3.7034092723390173,The Godfather,3.5918759026872342,The Lord of the Rings I,3.2876673201125675,Schindler's List,3.2364551032174695,Interstellar,3.2033457821248565
43,43,Interstellar,3.3295949552825572,The Godfather,3.134054171798374,The Lord of the Rings III,3.1202275344792136,The Dark Knight,2.8889426212303877,The Matrix,2.836527789235271
44,44,The Lord of the Rings III,3.6316004077652853,The Godfather,3.438006212529293,The Lord of the Rings I,3.1801009781031575,Interstellar,3.097787265565808,The Dark Knight,3.0379646290784166
45,45,The Lord of the Rings III,3.702918342552562,The Shawkshank Redemption,3.699056543262808,Interstellar,3.6439400016017496,The Dark Knight,3.605209172441985,The Godfather,3.426716017745482
